,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,level,dormitoy_type,price_sqft,road,house_number,neighbourhood,county,city,state
0,7129300520,2014-10-13,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,0.0,house,39.27433628318584,61st Avenue South,NA,NA,NA,NA,NA
1,6414100192,2014-12-09,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,2.0,house,74.28887047776857,Northeast 127th Street,NA,NA,NA,NA,NA
2,5631500400,2015-02-25,180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,0.0,apartment,18.0,81st Avenue Northeast,NA,NA,NA,NA,NA
3,2487200875,2014-12-09,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,2.0,house,120.8,Fauntleroy Way Southwest,NA,NA,NA,NA,NA
4,1954400510,2015-02-18,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,2.0,house,63.118811881188115,221st Avenue Northeast,NA,NA,NA,NA,NA
5,7237550310,2014-05-12,1225000.0,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930,3.0,house,12.01805160404199,Northeast Patterson Way,NA,NA,NA,NA,NA
6,1321400060,2014-06-27,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,0.0,house,37.762135210441414,South 330th Place,NA,NA,NA,NA,NA
7,2008000270,2015-01-15,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,0.0,house,30.053547523427042,14th Avenue South,NA,NA,NA,NA,NA
8,2414600126,2015-04-15,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,0.0,house,30.72289156626506,Southwest 102nd Street,NA,NA,NA,NA,NA
9,3793500160,2015-03-12,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,1.0,house,49.23780487804878,232nd Place Southeast,NA,NA,NA,NA,NA
10,1736800520,2015-04-03,662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,3.0,house,67.62964475296039,146th Avenue Southeast,NA,NA,NA,NA,NA
11,9212900260,2014-05-27,468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,2.0,apartment,78.0,Northeast 85th Street,NA,NA,NA,NA,NA
12,114101516,2014-05-28,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,0.0,house,15.57710667805638,NE 176th Court,NA,NA,NA,NA,NA
13,6054650070,2014-10-07,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,1.0,house,41.32231404958678,Northeast 3rd Place,NA,NA,NA,NA,NA
14,1175000570,2015-03-12,530000.0,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,2.0,house,109.27835051546391,Northwest 57th Street,NA,NA,NA,NA,NA
15,9297300055,2015-01-24,650000.0,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,3.0,house,130.0,33rd Avenue Southwest,NA,NA,NA,NA,NA
16,1875500060,2014-07-31,395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,1.0,house,28.133903133903132,Northeast 141st Place,NA,NA,NA,NA,NA
17,6865200140,2014-05-29,485000.0,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,2.0,house,112.79069767441861,North 50th Street,NA,NA,NA,NA,NA
